迭代：174，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：175，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：176，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：177，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：178，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：179，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：180，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：181，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：182，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：183，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：184，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：185，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：186，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：187，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：188，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：189，类型：定向，适应值：(7199.736,)，车辆：12，距离：1799.868，满意度：83.2
迭代：190，类型：定向，适应值：(7176.3088,)，车辆：12，距离：1788.154，满意度：83.2
迭代：191，类型：定向，适应值：(7176.3088,)，车辆：12，距离：1788.154，满意度：83.2
迭代：192，类型：定向，适应值：(7176.3088,)，车辆：12，距离：1788.154，满意度：83.2
迭代：193，类型：定向，适应值：(7176.3088,)，车辆：12，距离：1788.154，满意度：83.2
迭代：194，类型：定向，适应值：(7176.3088,)，车辆：12，距离：1788.154，满意度：83.2
迭代：195，类型：定向，适应值：(7176.3088,)，车辆：12，距离：1788.154，满意度：83.2
迭代：196，类型：定向，适应值：(7176.3088,)，车辆：12，距离：1788.154，满意度：83.2
迭代：197，类型：定向，适应值：(7148.9565,)，车辆：12，距离：1801.478，满意度：83.47
迭代：198，类型：定向，适应值：(7148.9565,)，车辆：12，距离：1801.478，满意度：83.47
迭代：199，类型：定向，适应值：(7148.9565,)，车辆：12，距离：1801.478，满意度：83.47
迭代：200，类型：定向，适应值：(7146.0582,)，车辆：12，距离：1800.029，满意度：83.47
迭代：201，类型：定向，适应值：(7146.0582,)，车辆：12，距离：1800.029，满意度：83.47
迭代：202，类型：定向，适应值：(7125.3274,)，车辆：12，距离：1762.664，满意度：83.2
迭代：203，类型：定向，适应值：(7125.3274,)，车辆：12，距离：1762.664，满意度：83.2
迭代：204，类型：定向，适应值：(7125.3274,)，车辆：12，距离：1762.664，满意度：83.2
迭代：205，类型：定向，适应值：(7125.3274,)，车辆：12，距离：1762.664，满意度：83.2
迭代：206，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：207，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：208，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：209，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：210，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：211，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：212，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：213，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：214，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：215，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：216，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：217，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：218，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：219，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：220，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：221，类型：定向，适应值：(7109.0287,)，车辆：12，距离：1821.514，满意度：83.87
迭代：222，类型：定向，适应值：(7042.1863,)，车辆：12，距离：1768.093，满意度：83.67
迭代：223，类型：定向，适应值：(7042.1863,)，车辆：12，距离：1768.093，满意度：83.67
迭代：224，类型：定向，适应值：(7042.1863,)，车辆：12，距离：1768.093，满意度：83.67
迭代：225，类型：定向，适应值：(7042.1863,)，车辆：12，距离：1768.093，满意度：83.67
迭代：226，类型：定向，适应值：(7042.1863,)，车辆：12，距离：1768.093，满意度：83.67
迭代：227，类型：定向，适应值：(7037.3973,)，车辆：12，距离：1771.699，满意度：83.73
迭代：228，类型：定向，适应值：(7037.3973,)，车辆：12，距离：1771.699，满意度：83.73
迭代：229，类型：定向，适应值：(7037.3973,)，车辆：12，距离：1771.699，满意度：83.73
迭代：230，类型：定向，适应值：(7037.3973,)，车辆：12，距离：1771.699，满意度：83.73
迭代：231，类型：定向，适应值：(7037.3973,)，车辆：12，距离：1771.699，满意度：83.73
迭代：232，类型：定向，适应值：(7037.3973,)，车辆：12，距离：1771.699，满意度：83.73
迭代：233，类型：定向，适应值：(7037.3973,)，车辆：12，距离：1771.699，满意度：83.73
迭代：234，类型：定向，适应值：(7037.3973,)，车辆：12，距离：1771.699，满意度：83.73
迭代：235，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：236，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：237，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：238，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：239，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：240，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：241，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：242，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：243，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：244，类型：定向，适应值：(7036.9731,)，车辆：12，距离：1771.487，满意度：83.73
迭代：245，类型：定向，适应值：(7018.0932,)，车辆：12，距离：1789.047，满意度：84.0
迭代：246，类型：定向，适应值：(6979.8389,)，车辆：12，距离：1776.919，满意度：84.07
迭代：247，类型：定向，适应值：(6979.8389,)，车辆：12，距离：1776.919，满意度：84.07
迭代：248，类型：定向，适应值：(6979.8389,)，车辆：12，距离：1776.919，满意度：84.07
迭代：249，类型：定向，适应值：(6979.8389,)，车辆：12，距离：1776.919，满意度：84.07
迭代：250，类型：定向，适应值：(6979.8389,)，车辆：12，距离：1776.919，满意度：84.07
迭代：251，类型：定向，适应值：(6979.8389,)，车辆：12，距离：1776.919，满意度：84.07
迭代：252，类型：定向，适应值：(6979.8389,)，车辆：12，距离：1776.919，满意度：84.07
迭代：253，类型：定向，适应值：(6979.8389,)，车辆：12，距离：1776.919，满意度：84.07
迭代：254，类型：定向，适应值：(6844.9441,)，车辆：12，距离：1795.472，满意度：84.93
迭代：255，类型：定向，适应值：(6844.9441,)，车辆：12，距离：1795.472，满意度：84.93
迭代：256，类型：定向，适应值：(6746.1727,)，车辆：12，距离：1853.086，满意度：86.0
迭代：257，类型：定向，适应值：(6746.1727,)，车辆：12，距离：1853.086，满意度：86.0
迭代：258，类型：定向，适应值：(6746.1727,)，车辆：12，距离：1853.086，满意度：86.0
迭代：259，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：260，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：261，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：262，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：263，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：264，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：265，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：266，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：267，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：268，类型：定向，适应值：(6609.278,)，车辆：12，距离：1871.639，满意度：86.87
迭代：269，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：270，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：271，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：272，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
迭代：273，类型：定向，适应值：(6608.6864,)，车辆：12，距离：1871.343，满意度：86.87
