种群大小：50，变异率：0.02，类型：随机，迭代数：400，时间：12
迭代：142，时间：12，类型：随机，适应值：(14677.66,)，车辆：7，距离：141.3，满意度：98.0
迭代：143，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：144，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：145，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：146，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：147，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：148，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：149，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：150，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：151，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：152，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：153，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：154，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：155，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：156，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：157，时间：12，类型：随机，适应值：(14663.65,)，车辆：7，距离：141.1，满意度：98.0
迭代：158，时间：12，类型：随机，适应值：(14644.81,)，车辆：7，距离：140.9，满意度：98.0
迭代：159，时间：12，类型：随机，适应值：(14631.8,)，车辆：7，距离：140.8，满意度：98.0
迭代：160，时间：12，类型：随机，适应值：(14631.8,)，车辆：7，距离：140.8，满意度：98.0
迭代：161，时间：12，类型：随机，适应值：(14574.88,)，车辆：7，距离：140.2，满意度：98.0
迭代：162，时间：12，类型：随机，适应值：(14517.29,)，车辆：7，距离：139.7，满意度：98.0
迭代：163，时间：12，类型：随机，适应值：(14514.71,)，车辆：7，距离：139.6，满意度：98.0
迭代：164，时间：12，类型：随机，适应值：(14514.71,)，车辆：7，距离：139.6，满意度：98.0
迭代：165，时间：12，类型：随机，适应值：(14514.71,)，车辆：7，距离：139.6，满意度：98.0
迭代：166，时间：12，类型：随机，适应值：(14514.71,)，车辆：7，距离：139.6，满意度：98.0
迭代：167，时间：12，类型：随机，适应值：(14514.71,)，车辆：7，距离：139.6，满意度：98.0
迭代：168，时间：12，类型：随机，适应值：(14460.82,)，车辆：7，距离：139.1，满意度：98.0
迭代：169，时间：12，类型：随机，适应值：(14460.82,)，车辆：7，距离：139.1，满意度：98.0
迭代：170，时间：12，类型：随机，适应值：(14460.82,)，车辆：7，距离：139.1，满意度：98.0
迭代：171，时间：12，类型：随机，适应值：(14428.43,)，车辆：7，距离：138.8，满意度：98.0
迭代：172，时间：12，类型：随机，适应值：(14428.43,)，车辆：7，距离：138.8，满意度：98.0
迭代：173，时间：12，类型：随机，适应值：(14428.43,)，车辆：7，距离：138.8，满意度：98.0
迭代：174，时间：12，类型：随机，适应值：(14428.43,)，车辆：7，距离：138.8，满意度：98.0
迭代：175，时间：12，类型：随机，适应值：(14428.43,)，车辆：7，距离：138.8，满意度：98.0
迭代：176，时间：12，类型：随机，适应值：(14428.43,)，车辆：7，距离：138.8，满意度：98.0
迭代：177，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：178，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：179，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：180，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：181，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：182，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
迭代：183，时间：12，类型：随机，适应值：(14355.46,)，车辆：7，距离：138.1，满意度：98.0
