种群大小：50，变异率：0.02，类型：定向，迭代数：400，时间：12
迭代：229，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：230，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：231，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：232，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：233，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：234，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：235，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：236，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：237，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：238，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：239，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：240，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：241，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：242，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：243，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：244，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：245，时间：12，类型：定向，适应值：(13193.85,)，车辆：7，距离：126.9，满意度：98.5
迭代：246，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：247，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：248，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：249，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：250，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：251，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：252，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：253，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：254，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：255，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：256，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：257，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：258，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：259，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：260，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：261，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：262，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：263，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：264，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：265，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：266，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：267，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：268，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：269，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：270，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：271，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：272，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：273，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：274，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：275，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
迭代：276，时间：12，类型：定向，适应值：(13183.23,)，车辆：7，距离：126.8，满意度：98.5
