迭代：184，类型：随机，适应值：(7932.033,)，车辆：20，距离：3699.017，满意度：99.33
迭代：185，类型：随机，适应值：(7932.033,)，车辆：20，距离：3699.017，满意度：99.33
迭代：186，类型：随机，适应值：(7907.154,)，车辆：20，距离：3686.577，满意度：99.33
迭代：187，类型：随机，适应值：(7907.154,)，车辆：20，距离：3686.577，满意度：99.33
迭代：188，类型：随机，适应值：(7907.154,)，车辆：20，距离：3686.577，满意度：99.33
迭代：189，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：190，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：191，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：192，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：193，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：194，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：195，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：196，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：197，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：198，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：199，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：200，类型：随机，适应值：(7844.7992,)，车辆：20，距离：3662.4，满意度：99.4
迭代：201，类型：随机，适应值：(7829.8888,)，车辆：20，距离：3654.944，满意度：99.4
迭代：202，类型：随机，适应值：(7829.8888,)，车辆：20，距离：3654.944，满意度：99.4
迭代：203，类型：随机，适应值：(7826.7969,)，车辆：20，距离：3646.398，满意度：99.33
迭代：204，类型：随机，适应值：(7802.1403,)，车辆：20，距离：3641.07，满意度：99.4
迭代：205，类型：随机，适应值：(7802.1403,)，车辆：20，距离：3641.07，满意度：99.4
迭代：206，类型：随机，适应值：(7802.1403,)，车辆：20，距离：3641.07，满意度：99.4
迭代：207，类型：随机，适应值：(7771.3969,)，车辆：20，距离：3625.698，满意度：99.4
迭代：208，类型：随机，适应值：(7742.4531,)，车辆：20，距离：3611.227，满意度：99.4
迭代：209，类型：随机，适应值：(7742.4531,)，车辆：20，距离：3611.227，满意度：99.4
迭代：210，类型：随机，适应值：(7742.4531,)，车辆：20，距离：3611.227，满意度：99.4
迭代：211，类型：随机，适应值：(7742.4531,)，车辆：20，距离：3611.227，满意度：99.4
迭代：212，类型：随机，适应值：(7729.5732,)，车辆：20，距离：3604.787，满意度：99.4
迭代：213，类型：随机，适应值：(7725.0518,)，车辆：20，距离：3602.526，满意度：99.4
迭代：214，类型：随机，适应值：(7700.6294,)，车辆：20，距离：3590.315，满意度：99.4
迭代：215，类型：随机，适应值：(7644.972,)，车辆：20，距离：3562.486，满意度：99.4
迭代：216，类型：随机，适应值：(7644.972,)，车辆：20，距离：3562.486，满意度：99.4
迭代：217，类型：随机，适应值：(7644.972,)，车辆：20，距离：3562.486，满意度：99.4
迭代：218，类型：随机，适应值：(7644.972,)，车辆：20，距离：3562.486，满意度：99.4
迭代：219，类型：随机，适应值：(7644.972,)，车辆：20，距离：3562.486，满意度：99.4
迭代：220，类型：随机，适应值：(7644.972,)，车辆：20，距离：3562.486，满意度：99.4
迭代：221，类型：随机，适应值：(7644.972,)，车辆：20，距离：3562.486，满意度：99.4
迭代：222，类型：随机，适应值：(7641.6983,)，车辆：20，距离：3560.849，满意度：99.4
迭代：223，类型：随机，适应值：(7641.6983,)，车辆：20，距离：3560.849，满意度：99.4
迭代：224，类型：随机，适应值：(7634.0059,)，车辆：20，距离：3557.003，满意度：99.4
迭代：225，类型：随机，适应值：(7596.3045,)，车辆：20，距离：3538.152，满意度：99.4
迭代：226，类型：随机，适应值：(7582.64,)，车辆：20，距离：3531.32，满意度：99.4
迭代：227，类型：随机，适应值：(7582.64,)，车辆：20，距离：3531.32，满意度：99.4
迭代：228，类型：随机，适应值：(7571.6739,)，车辆：20，距离：3525.837，满意度：99.4
迭代：229，类型：随机，适应值：(7571.6739,)，车辆：20，距离：3525.837，满意度：99.4
迭代：230，类型：随机，适应值：(7571.6739,)，车辆：20，距离：3525.837，满意度：99.4
迭代：231，类型：随机，适应值：(7571.6739,)，车辆：20，距离：3525.837，满意度：99.4
迭代：232，类型：随机，适应值：(7559.0202,)，车辆：20，距离：3519.51，满意度：99.4
迭代：233，类型：随机，适应值：(7550.8944,)，车辆：20，距离：3515.447，满意度：99.4
迭代：234，类型：随机，适应值：(7550.8944,)，车辆：20，距离：3515.447，满意度：99.4
迭代：235，类型：随机，适应值：(7550.8944,)，车辆：20，距离：3515.447，满意度：99.4
迭代：236，类型：随机，适应值：(7550.8944,)，车辆：20，距离：3515.447，满意度：99.4
迭代：237，类型：随机，适应值：(7548.054,)，车辆：20，距离：3514.027，满意度：99.4
迭代：238，类型：随机，适应值：(7548.054,)，车辆：20，距离：3514.027，满意度：99.4
迭代：239，类型：随机，适应值：(7548.054,)，车辆：20，距离：3514.027，满意度：99.4
迭代：240，类型：随机，适应值：(7548.054,)，车辆：20，距离：3514.027，满意度：99.4
迭代：241，类型：随机，适应值：(7548.054,)，车辆：20，距离：3514.027，满意度：99.4
迭代：242，类型：随机，适应值：(7548.054,)，车辆：20，距离：3514.027，满意度：99.4
迭代：243，类型：随机，适应值：(7548.054,)，车辆：20，距离：3514.027，满意度：99.4
迭代：244，类型：随机，适应值：(7545.8302,)，车辆：20，距离：3512.915，满意度：99.4
迭代：245，类型：随机，适应值：(7545.8302,)，车辆：20，距离：3512.915，满意度：99.4
迭代：246，类型：随机，适应值：(7545.8302,)，车辆：20，距离：3512.915，满意度：99.4
迭代：247，类型：随机，适应值：(7542.0258,)，车辆：20，距离：3511.013，满意度：99.4
迭代：248，类型：随机，适应值：(7542.0258,)，车辆：20，距离：3511.013，满意度：99.4
迭代：249，类型：随机，适应值：(7542.0258,)，车辆：20，距离：3511.013，满意度：99.4
迭代：250，类型：随机，适应值：(7494.0299,)，车辆：20，距离：3487.015，满意度：99.4
迭代：251，类型：随机，适应值：(7494.0299,)，车辆：20，距离：3487.015，满意度：99.4
迭代：252，类型：随机，适应值：(7494.0299,)，车辆：20，距离：3487.015，满意度：99.4
迭代：253，类型：随机，适应值：(7494.0299,)，车辆：20，距离：3487.015，满意度：99.4
迭代：254，类型：随机，适应值：(7494.0299,)，车辆：20，距离：3487.015，满意度：99.4
