Generation,evals,avg,std,min,max,best_one,fitness_best_one
71,336,[ 79.12040949 473.75863809],[ 4.39700147 22.6083577 ],[ 73.03699298 436.85695276],[ 84.         500.47545476],"[17, 18, 22, 20, 24, 16, 19, 7, 2, 15, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 495.84426868791707)"
72,318,[ 77.54007463 463.73808472],[ 4.32697768 22.44424425],[ 73.03699298 436.85695276],[ 84.         498.15091649],"[17, 18, 22, 20, 9, 16, 19, 7, 2, 15, 14, 12, 24, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 492.33598066609784)"
73,324,[ 80.06826873 476.48808962],[ 3.45029993 19.13163393],[ 73.03699298 436.85695276],[ 84.         497.41714713],"[17, 18, 22, 20, 9, 16, 19, 7, 2, 15, 14, 12, 24, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 492.33598066609784)"
74,336,[ 77.80906318 465.27337353],[ 2.30645141 15.79294169],[ 73.03699298 436.85695276],[ 84.         494.61279269],"[17, 18, 22, 20, 24, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 489.70228564793365)"
75,360,[ 77.74957639 464.2413524 ],[ 2.66240753 16.27730423],[ 73.04840661 436.85695276],[ 84.         492.33598067],"[17, 18, 22, 20, 24, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 489.70228564793365)"
76,344,[ 77.31516775 459.74545871],[ 3.15601932 19.31728803],[ 73.03305186 436.85695276],[ 84.         508.98447944],"[17, 18, 22, 20, 24, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 489.70228564793365)"
77,350,[ 75.91057922 450.21405173],[ 3.04402993 17.71655633],[ 73.04840661 434.83819922],[ 84.         508.98447944],"[17, 18, 22, 20, 24, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 489.70228564793365)"
78,352,[ 75.86118208 450.8066429 ],[ 2.90062505 16.62405402],[ 72.         434.83819922],[ 84.         491.68180955],"[17, 18, 22, 20, 24, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 489.70228564793365)"
79,346,[ 77.14305752 456.55104582],[ 2.75249355 16.95419487],[ 73.05972031 434.78533107],[ 84.         491.01375989],"[17, 18, 22, 20, 24, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 489.70228564793365)"
80,326,[ 77.29979184 453.18797606],[ 3.53443691 21.05437118],[ 73.05972031 434.78533107],[ 84.         496.87258193],"[17, 18, 22, 20, 24, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 489.70228564793365)"
81,346,[ 78.14043502 457.25039124],[ 3.91687621 22.91935608],[ 73.05972031 434.78533107],[ 84.         491.01375989],"[17, 18, 22, 20, 24, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 489.70228564793365)"
82,336,[ 76.61818396 448.65710614],[ 2.58036063 16.12257079],[ 73.05972031 434.78533107],[ 84.         489.70228565],"[24, 18, 22, 20, 17, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 488.5994618392496)"
83,322,[ 77.90195588 456.44421371],[ 2.69992995 17.07516402],[ 73.05972031 434.78533107],[ 84.         489.70228565],"[24, 18, 22, 20, 17, 15, 19, 7, 2, 16, 14, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 488.5994618392496)"
